=== PER-NEFF ENGINE UTILIZATION (760 NEFFs, by wall time) ===
neff              tot_us  %oftot  tensor%  gpsimd%  vector%    dma%  class
7bf79298578301     206.2    0.1%      1.0     88.7      1.0    73.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
6636c943d36175     205.8    0.1%      1.1     89.3      1.0    74.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
3a87450b82862b     205.7    0.1%      1.1     89.3      1.0    74.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
fafd105af15c09     205.6    0.1%      1.0     88.7      1.0    74.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
caba8d4042853c     204.3    0.1%     56.4      4.4     79.2    15.4  COMPUTE-BOUND (matmul-hot)
6b61aa1852a166     203.1    0.1%     36.9     37.2     42.0    89.9  MIXED
b9fb43ce25012f     189.8    0.1%      1.1     87.9      1.1    43.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
cc3a422dbd89db     189.7    0.1%     76.4     50.4     15.8    72.5  COMPUTE-BOUND (matmul-hot)
67620f73b8ee4c     188.8    0.1%      1.3     88.7      1.2    45.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
97aa18fcffdf14     188.7    0.1%      1.2     88.8      1.1    44.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9e4cbbc6b0671a     188.6    0.1%      1.3     88.6      1.1    45.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0037d2f1d668b5     186.8    0.1%      1.2     23.7      1.1    94.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
09b2744e8d692f     184.4    0.1%     84.6     13.7     10.1    25.5  COMPUTE-BOUND (matmul-hot)
b788eb089daf4e     182.7    0.1%     85.2     13.1      9.8    26.6  COMPUTE-BOUND (matmul-hot)
78d1edd079e1c5     181.6    0.1%     72.6      6.2     15.8    41.4  COMPUTE-BOUND (matmul-hot)
6a43c9688d7c87     181.2    0.1%     85.5     13.3     10.1    26.2  COMPUTE-BOUND (matmul-hot)
2259105902f636     178.1    0.1%     44.0     18.8     25.6    81.0  COMPUTE-BOUND (matmul-hot)
d8ed06451f0706     175.2    0.1%     72.2      5.9     15.6    42.2  COMPUTE-BOUND (matmul-hot)
2f4e41104652fa     174.1    0.1%      1.2     41.4      1.1    93.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2086f54af1f0db     172.8    0.1%     72.1      6.1     16.0    42.8  COMPUTE-BOUND (matmul-hot)
0b39843b4bb4b7     172.2    0.1%      1.2     87.2      1.5    71.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
46ba50008b09a9     171.6    0.1%      1.2     87.5      1.1    72.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
73981d78c5435d     171.6    0.1%      1.4     22.1      1.1    93.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0cb2195b93cd21     168.7    0.1%      1.3     87.2      1.5    72.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b3b36d12b3c4e1     168.7    0.1%      1.3     87.2      1.5    72.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
99ed765f9a1be0     168.7    0.1%      1.3     87.4      1.5    72.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9d2629faf2f77c     168.6    0.1%      1.3     87.2      1.5    73.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
1d8cedee518b22     168.6    0.1%      1.3     87.4      1.8    79.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
121bb7cd182784     168.5    0.1%      1.3     87.2      1.6    73.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
db2c7d2b39c140     168.5    0.1%      1.3     87.1      1.5    73.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e0639ac71c125e     168.5    0.1%      1.3     87.1      1.5    73.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
a342d7d4092951     168.5    0.1%      1.3     87.3      1.3    72.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c61abdc076ba72     168.2    0.1%      1.3     87.2      1.1    73.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c9e3b633769453     168.1    0.1%      1.3     87.4      1.2    73.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
a4ff93d28dadfc     167.4    0.1%      1.3     88.7      1.2    48.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
72ec5a81911d19     163.7    0.1%      1.3      8.3     15.8    19.1  MIXED
53eca38413b98f     157.5    0.1%      1.3     35.0     87.6    81.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
fe80ccc0d70563     156.0    0.1%     77.3     13.7      8.2    22.8  COMPUTE-BOUND (matmul-hot)
a61d920224e7f2     155.6    0.1%     77.1     14.2      9.1    23.0  COMPUTE-BOUND (matmul-hot)
52c49851010f0f     155.2    0.1%     78.1     13.6      8.2    22.2  COMPUTE-BOUND (matmul-hot)
4137b36fb1237f     152.9    0.1%     45.4      8.3     55.5    19.1  COMPUTE-BOUND (matmul-hot)
0f2623b9c02583     151.5    0.1%      1.4     14.7      1.3    93.1  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
a0f3dccbc37528     149.5    0.1%      1.4     14.8      1.3    92.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5739be192d11d6     145.9    0.1%     52.1     55.3     49.6    78.6  COMPUTE-BOUND (matmul-hot)
fffb1bdbac7dd1     143.4    0.1%     73.2     11.8     10.9    35.8  COMPUTE-BOUND (matmul-hot)
a5dbc343dfbd76     142.6    0.1%     72.1     12.7     11.8    35.1  COMPUTE-BOUND (matmul-hot)
f87a015fe5e0d0     140.6    0.1%     73.6     12.3     12.0    35.0  COMPUTE-BOUND (matmul-hot)
dc55ba76463548     139.0    0.1%     63.8     36.1      3.1    57.7  COMPUTE-BOUND (matmul-hot)
8328d4a79bcefd     138.0    0.1%     79.9     44.4     13.2    46.5  COMPUTE-BOUND (matmul-hot)
d701f6740116c7     136.3    0.1%     37.6     37.5     42.9    91.4  MIXED
bacb9a09762431     133.2    0.1%     21.4     15.6     20.0    45.5  MIXED
b9725efe55f7b6     132.3    0.1%     48.8      7.9     55.1    18.4  COMPUTE-BOUND (matmul-hot)
4bbd35ead0b62b     130.3    0.1%     65.2     38.6      2.7    61.5  COMPUTE-BOUND (matmul-hot)
3d6721b413621a     128.3    0.1%     47.3     20.2     23.2    52.7  COMPUTE-BOUND (matmul-hot)
80373465253978     128.3    0.1%      1.6      9.1      1.5    91.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9ff9c52e6bbf3a     126.4    0.1%     44.8     18.8     22.9    52.9  COMPUTE-BOUND (matmul-hot)
1cfad4461611ed     126.1    0.1%     46.2     17.9     22.2    53.1  COMPUTE-BOUND (matmul-hot)
5458e3dd0a901d     125.3    0.1%     36.4     50.8     36.4    65.0  MIXED
d0f70cf6868436     121.2    0.1%      1.9     25.4     34.5    91.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0c8a964f926e6f     120.1    0.1%      1.8     26.5      1.8    90.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9f835d525c7356     119.5    0.1%     79.8     17.7      4.3    29.8  COMPUTE-BOUND (matmul-hot)
59bfc4d49608b7     117.1    0.1%     78.2     40.6     12.0    44.4  COMPUTE-BOUND (matmul-hot)
09736e763e85d8     107.6    0.1%      4.0     80.9      4.1    26.1  MIXED
ec011ce314de8d     106.6    0.1%      2.0     57.6     75.4    50.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f4e36654e07d32     105.6    0.1%      4.5     19.8     66.3    35.6  MIXED
b7885bd862e6ee     104.4    0.1%     59.9     21.6      8.7    39.0  COMPUTE-BOUND (matmul-hot)
a8a178fc0800dd     104.0    0.1%     69.6     22.1     53.3    54.1  COMPUTE-BOUND (matmul-hot)
ed19e48c4def86     104.0    0.1%     69.1     22.0     53.3    54.2  COMPUTE-BOUND (matmul-hot)
996327818f5966     103.9    0.1%      2.0      7.8     17.5    28.7  MIXED
be35f6d6182387     103.8    0.1%     77.5     14.7      6.9    27.9  COMPUTE-BOUND (matmul-hot)
84bfaa866765db     102.2    0.1%     59.8      9.8     28.7    21.6  COMPUTE-BOUND (matmul-hot)
3926e8eb7a2d21     101.6    0.1%      2.1     26.1      1.9    89.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
25e9abf4aea742      98.7    0.1%      2.1     91.5      1.9    64.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c4ec7c57be5290      98.6    0.1%      2.1     91.6      1.9    64.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
43ee62d8e22656      98.6    0.1%      2.1     91.7      1.9    65.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
161aba339f70ec      98.5    0.1%      2.1     91.6      1.9    65.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e7887f4ccb5949      97.5    0.1%      2.2     35.7     47.1    75.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f915d42a221489      95.7    0.1%     67.4     14.3     11.4    27.5  COMPUTE-BOUND (matmul-hot)
d6b11169767f1f      95.1    0.1%     68.7     15.1     14.8    27.6  COMPUTE-BOUND (matmul-hot)
41c76cab103979      94.7    0.1%     68.3     14.6     11.6    27.3  COMPUTE-BOUND (matmul-hot)
61a51eeace0764      93.5    0.1%      5.3     16.8     67.2    33.3  MIXED
7d48b788ed35b3      93.5    0.1%      2.4     65.5     83.6    56.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9380930f8511fb      91.3    0.1%      2.1     30.3      2.1    87.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
384fd3056fb6f8      90.9    0.1%     70.0     24.6     57.1    50.1  COMPUTE-BOUND (matmul-hot)
e0177ee9f094d0      90.7    0.1%     70.1     24.5     57.1    50.2  COMPUTE-BOUND (matmul-hot)
ceafe2cb3c2e52      90.7    0.1%     70.1     24.5     57.0    50.5  COMPUTE-BOUND (matmul-hot)
8ede0ef80a4614      90.7    0.1%     70.1     24.5     57.0    50.3  COMPUTE-BOUND (matmul-hot)
ec8e581d47fa5e      90.7    0.1%     70.1     24.5     57.1    50.4  COMPUTE-BOUND (matmul-hot)
b7509c348bb24a      90.7    0.1%     70.1     24.6     57.2    50.2  COMPUTE-BOUND (matmul-hot)
f1a1a3db0cd2d9      90.6    0.1%     70.2     24.6     57.3    50.2  COMPUTE-BOUND (matmul-hot)
17921c67eeb1db      90.5    0.1%     70.3     24.6     57.2    50.5  COMPUTE-BOUND (matmul-hot)
2945dfadb0c014      89.6    0.1%      2.4     84.7      2.2    54.4  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
374f8a290be9a0      89.4    0.1%      2.4     22.5      2.1    88.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
85cdc4ef424b33      87.4    0.1%     20.0     47.2     15.8    78.2  MIXED
8933b27650a138      87.0    0.1%     20.1     47.5     15.8    77.9  MIXED
dec94611ecf0b5      86.6    0.1%     20.2     47.5     15.9    76.9  MIXED
04ff9e38030ed0      86.4    0.1%     20.3     47.6     15.9    75.7  MIXED
3885835a0a706f      86.2    0.1%     20.6     52.0     16.0    74.1  MIXED
c5bec09ab8a084      86.1    0.1%     20.6     56.7     16.0    77.2  MIXED
9a50d8d0527b44      85.9    0.1%      2.5     27.8     41.8    65.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
4f076785ff9813      85.6    0.1%      2.6     75.3      3.2    79.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
177ca8e30f1cdc      85.4    0.1%      2.5     75.1      3.0    78.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b85e05b33367ea      85.4    0.1%      2.5     75.2      3.0    78.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
c84ef51730effe      85.4    0.1%      2.5     75.1      3.0    79.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
0003fa2811e187      85.4    0.1%      2.5     75.2      3.0    78.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
30a370953174e2      85.4    0.1%      2.5     75.2      3.0    78.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
2c26b36b09dd3b      85.4    0.1%      2.5     75.2      3.0    78.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
aa6ff634beb734      85.4    0.1%      2.5     75.2      3.0    79.0  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
5f36c95e711b6a      85.3    0.1%      2.5     75.2      3.0    79.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
4fa059f943c388      85.3    0.1%      2.5     75.3      3.0    79.5  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
f9596608031ba8      85.2    0.1%      2.5     75.3      3.0    79.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
66b1d720b3e016      85.2    0.1%      2.5     75.2      3.0    79.3  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
a19af085ebceac      85.2    0.1%      2.5     75.3      3.0    78.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e3cfb246eb9d3a      85.2    0.1%     44.3     10.6     56.8    20.2  COMPUTE-BOUND (matmul-hot)
2d7b374ddbc856      85.1    0.1%      2.5     75.4      3.0    79.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
8c8ab591dd2f7e      85.1    0.1%      2.5     75.4      3.0    79.9  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
e9604ff840cc90      85.1    0.1%      2.5     75.7      3.2    78.7  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
b8655a444e8886      84.8    0.1%     20.6     43.3     16.2    77.1  MIXED
64c92becb73ad2      84.8    0.1%     18.6     27.0     10.0    60.7  MIXED
4573b125eaa496      84.8    0.1%     18.2     27.1     10.0    61.9  MIXED
51a3a5a62c8b6a      84.6    0.1%     18.3     26.8      9.7    61.3  MIXED
ed37c3c6370e64      84.4    0.1%     20.7     53.2     16.3    78.0  MIXED
ea422771b34726      84.4    0.1%     21.0     58.0     16.3    80.0  MIXED
784b8027d24f0c      84.3    0.1%      2.5     25.4      2.3    86.8  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
d59be002afe86d      84.0    0.1%     21.1     48.3     16.4    76.9  MIXED
47e6805ba2a9c8      83.9    0.1%     21.1     58.4     16.4    78.0  MIXED
a817eed6933f9b      83.8    0.1%     20.9     43.7     16.4    75.5  MIXED
35163a69086811      83.6    0.1%     17.2     42.3      2.6    34.3  MIXED
0e817418d8a14a      83.5    0.1%     17.3     42.5      2.7    34.7  MIXED
c0d042191f11d6      83.4    0.1%     17.3     42.6      2.7    34.2  MIXED
4bc21458c61ca2      83.2    0.1%     17.1     42.5      2.5    33.8  MIXED
8b6a3049a9492b      83.2    0.1%     17.1     42.5      2.5    34.4  MIXED
c9856bece9b08a      83.2    0.1%     17.4     42.7      2.7    34.8  MIXED
03b9247224f7a9      83.1    0.1%     17.3     42.4      2.5    34.2  MIXED
8c587949b42fa8      83.1    0.1%     17.5     42.8      2.8    34.4  MIXED
989ff35ce88d5d      83.0    0.1%     21.1     49.4     16.7    80.5  MIXED
def5cc968a5f0e      83.0    0.1%     17.3     42.6      2.5    33.9  MIXED
